submission_id,age,comments,correct_answer,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemOrder,languages,llm_id,lower_bound,p1,p2,p3,responseTime,state_type,trialNr,trial_type,upper_bound,vignette
1282,NA,NA,NA,NA,374613,1750505700083,1750505325470,NA,"lower_bound,p1,p2,upper_bound,p3",NA,NA,NA,NA,NA,71,10844,NA,NA,NA,59,NA
1282,NA,NA,main,NA,374613,1750505700083,1750505325470,NA,"p1,p2,upper_bound,p3,lower_bound",NA,NA,92,70,30,33,195067,s_atypical,1,main,0,19
1282,NA,NA,main,NA,374613,1750505700083,1750505325470,NA,"p3,lower_bound,p2,p1,upper_bound",NA,NA,70,99,23,35,14662,s_atypical,2,main,82,10
1282,NA,NA,100,NA,374613,1750505700083,1750505325470,NA,"p1,upper_bound,p2,lower_bound,p3",NA,NA,100,100,100,100,31888,s_typical,3,filler,100,9
1282,NA,NA,main,NA,374613,1750505700083,1750505325470,NA,"upper_bound,p1,p2,lower_bound,p3",NA,NA,86,48,22,99,17272,s_atypical,4,main,37,14
1282,NA,NA,main,NA,374613,1750505700083,1750505325470,NA,"p1,p3,upper_bound,lower_bound,p2",NA,NA,92,36,93,76,22282,s_typical,5,main,35,20
1282,NA,NA,main,NA,374613,1750505700083,1750505325470,NA,"p2,p3,upper_bound,lower_bound,p1",NA,NA,91,98,32,29,17386,s_typical,6,main,72,8
1282,NA,NA,main,NA,374613,1750505700083,1750505325470,NA,"p2,p1,lower_bound,p3,upper_bound",NA,NA,19,35,18,99,35037,s_atypical,7,main,99,1
1282,43,N/A,NA,Higher degree,374613,1750505700083,1750505325470,male,NA,NA,NO,NA,NA,NA,NA,24397,NA,NA,NA,NA,NA
1283,NA,NA,NA,NA,360617,1750505867212,1750505506595,NA,"lower_bound,p1,p2,upper_bound,p3",NA,NA,NA,NA,NA,NA,4717,NA,NA,NA,NA,NA
1283,NA,NA,main,NA,360617,1750505867212,1750505506595,NA,"p2,p1,lower_bound,upper_bound,p3",NA,NA,35,80,88,47,40467,s_typical,1,main,100,14
1283,NA,NA,main,NA,360617,1750505867212,1750505506595,NA,"lower_bound,p2,upper_bound,p3,p1",NA,NA,41,100,23,84,43774,s_typical,2,main,55,20
1283,NA,NA,main,NA,360617,1750505867212,1750505506595,NA,"p1,p2,lower_bound,p3,upper_bound",NA,NA,10,57,70,10,29367,s_typical,3,main,100,8
1283,NA,NA,main,NA,360617,1750505867212,1750505506595,NA,"p2,p3,p1,lower_bound,upper_bound",NA,NA,86,99,42,61,70731,s_atypical,4,main,8,4
1283,NA,NA,0,NA,360617,1750505867212,1750505506595,NA,"p1,upper_bound,lower_bound,p3,p2",NA,NA,0,0,0,0,21799,s_typical,5,filler,0,18
1283,NA,NA,main,NA,360617,1750505867212,1750505506595,NA,"p2,upper_bound,lower_bound,p3,p1",NA,NA,12,84,100,32,47525,s_typical,6,main,100,1
1283,NA,NA,main,NA,360617,1750505867212,1750505506595,NA,"p3,p2,upper_bound,p1,lower_bound",NA,NA,23,77,50,67,82554,s_atypical,7,main,24,19
1283,52,NA,NA,Higher degree,360617,1750505867212,1750505506595,male,NA,NA,NO,NA,NA,NA,NA,16862,NA,NA,NA,NA,NA
1274,NA,NA,NA,NA,170190,1750505180825,1750505010635,NA,"lower_bound,p1,p2,upper_bound,p3",NA,NA,82,75,59,5,23328,NA,NA,NA,28,NA
