vignette,u_unmarked,u_marked,context,speaker,state_type,state,p1,p2,p3,upper_bound,lower_bound
1,“Ann turned off the light.”,“Ann caused the light to turn off.”,Why is the room dark?,Ann,s_atypical,"Ann turned off the light by plugging in a microwave and a heater, leading to a power outage.",Ann caused a power outage by plugging in a microwave and a heater while turning off the light.,"The light was turned off by Ann, but plugging in a microwave and a heater caused a power outage.","Due to Ann plugging in a microwave and a heater, the light was turned off and a power outage occurred.",Ann caused the light to turn off.,Ann turned off the light.
1,“Ann turned off the light.”,“Ann caused the light to turn off.”,Why is the room dark?,Ann,s_typical,Ann turned off the light.,The light was turned off by Ann.,Ann switched off the light.,The light is off now because Ann turned it off.,Ann turned off the light.,Ann caused the light to turn off.
4,“John broke the coffee mug.”,“John caused the coffee mug to break.”,What happened to the coffee mug?,Mary,s_atypical,"John poured boiling water into the coffee mug which had a crack, so that it bursted. ",John poured boiling water into a cracked coffee mug and it burst.,The coffee mug cracked and burst when John poured boiling water into it.,"When John poured boiling water into the coffee mug with a crack, it burst.",John caused the coffee mug to break.,John broke the coffee mug.
4,“John broke the coffee mug.”,“John caused the coffee mug to break.”,What happened to the coffee mug?,Mary,s_typical,John dropped the coffee mug.,The coffee mug was dropped by John.,John accidentally dropped the coffee mug.,"There was a coffee mug that fell, and John was the one who dropped it.",John broke the coffee mug.,John caused the coffee mug to break.
6,John made iced coffee.,“John caused the coffee to freeze.”,Why is the coffee cold?,Sam,s_atypical,John left his coffee outside in winter and it froze.,John's coffee froze after he left it outside in winter.,"Due to being left outside in winter, John's coffee froze.",John forgot his coffee outside in winter and it ended up freezing.,John caused the coffee to freeze.,John made iced coffee.
6,John made iced coffee.,“John caused the coffee to freeze.”,Why is the coffee cold?,Sam,s_typical,John made coffee and put ice cubes into it.,John added ice cubes to his coffee.,Coffee with ice cubes was made by John.,John brewed coffee and added ice cubes to it.,John made iced coffee.,John caused the coffee to freeze.
8,“The home team scored the goal.”,“The home team caused the goal to be scored.”,Which team won?,John,s_atypical,"The forward of the home team fell down and the ball bounced off of her head, scoring a goal.","The home team's forward fell and the ball bounced off her head, resulting in a goal.",A goal was scored after the ball bounced off the head of the home team's forward who fell down.,"The ball hit the head of the home team's forward who fell, leading to a goal.",The home team caused the goal to be scored.,The home team scored the goal.
8,“The home team scored the goal.”,“The home team caused the goal to be scored.”,Which team won?,John,s_typical,The forward of the home team scored the goal.,The home team's forward scored.,The goal was scored by the home team's forward.,The forward of the home team put the ball in the net.,The home team scored the goal.,The home team caused the goal to be scored.
10,“John cooked the rice.”,“John’s actions caused the rice to cook.”,What’s for lunch?,Mike,s_atypical,"John cooked the rice in an unusual way, over a fire in his backyard.",John cooked rice over a fire in his backyard.,"Rice was cooked by John in an unusual way, over a fire in his backyard.","In an unusual way, John cooked rice over a fire in his backyard.",John’s actions caused the rice to cook.,John cooked the rice.
10,“John cooked the rice.”,“John’s actions caused the rice to cook.”,What’s for lunch?,Mike,s_typical,John cooked rice.,John made rice.,Rice was cooked by John.,John prepared rice.,John cooked the rice.,John’s actions caused the rice to cook.
