Unnamed: 0.2,context,utterance,speaker_x,explanation,num_samples,proposals,overall_index,experiment_type,dataset,unique_id,Unnamed: 0,Unnamed: 0.1,not_keep,assumption,item_id,inference_type,trigger,target_prejacent,competitor_prejacent,distractor_1_prejacent,distractor_2_prejacent,speaker_y
1554,Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,Jane's performance was terrible.,Bo,the answer is unnecessarily prolix for the context,4,"1. Bo may be expressing disappointment or frustration with Jane's performance.
2. Bo may be trying to emphasize the extent of their dissatisfaction with Jane's performance.
3. Bo may be indicating that Jane's performance did not meet their expectations.
4. Bo may be suggesting that Jane's performance was below average or of poor quality.",4_54,gricean_assmuptions,ours,../results/final/3_1_gricean_our/implicatures_FC_gpt-3.5-turbo_20230804_1210_results_1288306/interpretation_proposer.csv,,,,manner_3,11,baseline,Jane's performance was terrible.,Jane's performance was terrible.,Jane's performance was very good.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo
131,Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,Jane's performance was terrible.,Bo,the answer provides information in an order that does not makes sense,4,"1. Bo may be trying to express disappointment or frustration with Jane's performance.
2. Bo may be trying to convey that Jane's performance did not meet their expectations.
3. Bo may be trying to indicate that Jane's performance was below average or not enjoyable.
4. Bo may be trying to suggest that Jane's performance was lacking in skill or talent.",0_24,gricean_assmuptions,ours,../results/final/3_1_gricean_our/implicatures_FC_gpt-3.5-turbo_20230810_0107_results_1295536/interpretation_proposer.csv,,,,manner_4,11,baseline,Jane's performance was terrible.,Jane's performance was terrible.,Jane's performance was very good.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo
122,Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,Jane's performance was terrible.,Bo,the answer is less informative than is required by the context,4,"1. Bo may be expressing disappointment or frustration with Jane's performance.
2. Bo may be trying to convey that Jane's performance did not meet their expectations.
3. Bo may be indicating that Jane's performance was below the standard they were hoping for.
4. Bo may be suggesting that Jane's performance was lacking in skill or quality.",0_20,gricean_assmuptions,ours,../results/final/3_1_gricean_our/implicatures_FC_gpt-3.5-turbo_20230810_0107_results_1295536/interpretation_proposer.csv,,,,quantity_1,11,baseline,Jane's performance was terrible.,Jane's performance was terrible.,Jane's performance was very good.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo
1553,Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,Jane's performance was terrible.,Bo,the answer is more informative than is required by the context,4,"1. Bo may be expressing disappointment or surprise at Jane's performance, as they had expected her to do well or had seen her perform better in the past.
2. Bo may be providing an honest assessment of Jane's performance, indicating that she did not meet their expectations or that there were noticeable flaws in her guitar playing.
3. Bo may be expressing their personal opinion or taste, suggesting that they did not enjoy Jane's performance regardless of its technical quality.
4. Bo may be trying to convey their support for Jane by being honest about her performance, as they believe constructive criticism is more valuable than false praise.",4_54,gricean_assmuptions,ours,../results/final/3_1_gricean_our/implicatures_FC_gpt-3.5-turbo_20230804_1210_results_1288306/interpretation_proposer.csv,,,,quantity_2,11,baseline,Jane's performance was terrible.,Jane's performance was terrible.,Jane's performance was very good.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo
34,Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,The food trucks at the concert venue were great.,Bo,the answer uses language that is difficult to understand,4,"1. Bo may be trying to divert the conversation away from Jane's performance because they either didn't enjoy it or didn't want to discuss it.
2. Bo may be indirectly implying that Jane's performance was not memorable or noteworthy, but the food trucks at the concert venue were.
3. Bo may be indicating that they were more focused on the food trucks and the overall experience of the concert venue rather than specifically paying attention to Jane's performance.
4. Bo may be using a non sequitur response to avoid giving an opinion or to change the subject altogether.",0_3,gricean_assmuptions,ours,../results/final/3_1_gricean_our/implicatures_FC_gpt-3.5-turbo_20230810_0108_results_1295537/interpretation_proposer.csv,,,,manner_1,11,irrelevant,The food trucks at the concert venue were great.,Bo does not want to talk about Jane’s performance.,the food trucks at the concert venue were great.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo
1580,Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,The food trucks at the concert venue were great.,Bo,the answer is intentionally ambiguous in the context,4,"1. Bo may be avoiding giving a direct answer about Jane's performance because they didn't enjoy it or thought it was not good.
2. Bo may be implying that the highlight of the concert was not Jane's performance, but rather the food trucks at the venue.
3. Bo may be suggesting that the overall experience at the concert was enjoyable, but they are not specifically commenting on Jane's performance.
4. Bo may be using the answer as a distraction or deflection, trying to avoid discussing Jane's performance altogether.",3_52,gricean_assmuptions,ours,../results/final/3_1_gricean_our/implicatures_FC_gpt-3.5-turbo_20230804_1210_results_1288306/interpretation_proposer.csv,,,,manner_2,11,irrelevant,The food trucks at the concert venue were great.,Bo does not want to talk about Jane’s performance.,the food trucks at the concert venue were great.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo
254,Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,The food trucks at the concert venue were great.,Bo,the answer is unnecessarily prolix for the context,4,"1. Bo may be avoiding giving a direct answer about Jane's performance because they didn't enjoy it or found it underwhelming.
2. Bo may be trying to divert the conversation away from Jane's performance because they don't want to discuss it or have a different topic they want to talk about.
3. Bo may be indirectly implying that Jane's performance was not memorable or noteworthy, but the food trucks at the concert venue were the highlight of their experience.
4. Bo may be using the answer as a way to express their overall satisfaction with the concert, implying that even if Jane's performance wasn't exceptional, the food trucks made up for it.",0_52,gricean_assmuptions,ours,../results/final/3_1_gricean_our/implicatures_FC_gpt-3.5-turbo_20230801_2143_results_/interpretation_proposer.csv,,,,manner_3,11,irrelevant,The food trucks at the concert venue were great.,Bo does not want to talk about Jane’s performance.,the food trucks at the concert venue were great.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo
67,Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,The food trucks at the concert venue were great.,Bo,the answer provides information in an order that does not makes sense,4,"1. Bo may be trying to avoid answering the question about Jane's performance because they didn't enjoy it or didn't want to give a negative opinion.
2. Bo may be indirectly implying that Jane's performance was not memorable or noteworthy, but the food trucks were the highlight of the concert.
3. Bo may be suggesting that the overall experience of the concert was more important to them than Jane's performance alone.
4. Bo may be trying to change the subject and divert the conversation away from Jane's performance.",0_6,gricean_assmuptions,ours,../results/final/3_1_gricean_our/implicatures_FC_gpt-3.5-turbo_20230810_0108_results_1295537/interpretation_proposer.csv,,,,manner_4,11,irrelevant,The food trucks at the concert venue were great.,Bo does not want to talk about Jane’s performance.,the food trucks at the concert venue were great.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo
1483,Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,The food trucks at the concert venue were great.,Bo,Bo does not believe that the answer is true,4,"1. Bo may be trying to avoid giving a negative opinion about Jane's performance by diverting the conversation to a different topic.
2. Bo may be indirectly implying that Jane's performance was not memorable or noteworthy, so they chose to focus on the food instead.
3. Bo may be subtly expressing disappointment or dissatisfaction with Jane's performance by shifting the attention to the food trucks.
4. Bo may be intentionally deflecting the question and avoiding discussing Jane's performance altogether.",1_52,gricean_assmuptions,ours,../results/final/3_1_gricean_our/implicatures_FC_gpt-3.5-turbo_20230804_1210_results_1288306/interpretation_proposer.csv,,,,quality_1,11,irrelevant,The food trucks at the concert venue were great.,Bo does not want to talk about Jane’s performance.,the food trucks at the concert venue were great.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo
1577,Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,The food trucks at the concert venue were great.,Bo,Bo likely does not have enough evidence for the answer,4,"1. Bo may be trying to divert the conversation away from Jane's performance because they either didn't pay attention or didn't want to give a negative opinion.
2. Bo may be indirectly implying that Jane's performance was not memorable or noteworthy, so they chose to focus on the food trucks instead.
3. Bo may be indicating that the overall experience at the concert was enjoyable, but they are avoiding giving a direct answer about Jane's performance.
4. Bo may be suggesting that the food trucks were the highlight of the concert for them, implying that Jane's performance was not particularly impressive or memorable.",3_52,gricean_assmuptions,ours,../results/final/3_1_gricean_our/implicatures_FC_gpt-3.5-turbo_20230804_1210_results_1288306/interpretation_proposer.csv,,,,quality_2,11,irrelevant,The food trucks at the concert venue were great.,Bo does not want to talk about Jane’s performance.,the food trucks at the concert venue were great.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo
