context,utterance,explanation,proposals,experiment_type,dataset,assumption,item_id,inference_type,trigger,upper_bound,lower_bound,distractor_1_prejacent,distractor_2_prejacent,speaker_x,p1,p2
Alex went to a magic show. You ask Alex: 'How were the magic tricks?'. Alex replies:,There were some magic tricks.,Alex does not believe that the answer is true,"1. Alex could be implying that the magic tricks were not impressive or captivating.
2. Alex could be suggesting that the magic tricks were predictable or easily explainable.
3. Alex could be indicating that the magic tricks were repetitive or lacked variety.
4. Alex could be insinuating that the magic tricks were poorly executed or lacked skill.",gricean_assmuptions,ours,quality_1,24,too_little,There were some magic tricks.,Alex might be implying that the  magic tricks were not very good.,Alex might be implying that there were some magic tricks.,Alex once volunteered as an assistant in a magic trick.,the magician had a trick with birds.,Alex,Alex could be insinuating that the magic tricks were poorly executed or lacked skill.,Alex could be indicating that the magic tricks were repetitive or lacked variety.
Betsy went to a talent show yesterday in which your mutual friend Alex took part. You ask Betsy: “How was Alex’s performance?” Betsy replies:,Alex produced a series of sounds corresponding roughly to the score of an aria from Rigoletto.,the answer is more informative than is required by the context,"1. Betsy might be implying that Alex's performance was not very good or impressive. By describing the sounds as ""corresponding roughly"" to the score of an aria from Rigoletto, she could be suggesting that Alex's performance was not accurate or well-executed.

2. Betsy could be indicating that Alex's performance was unique or unconventional. By mentioning that the sounds corresponded to the score of an aria from Rigoletto, she might be suggesting that Alex took a creative approach to their performance, perhaps using unconventional instruments or techniques.

3. Betsy might be implying that Alex's performance was experimental or avant-garde. By describing the sounds as a series corresponding to the score of an aria from Rigoletto, she could be suggesting that the performance was abstract or non-traditional, pushing the boundaries of what is typically expected in a talent show.

4. Betsy could be indicating that Alex's performance was complex or intricate. By mentioning that the sounds corresponded to the score of an aria from Rigoletto, she might be suggesting that the performance required a high level of skill and precision, showcasing Alex's musical abilities.",gricean_assmuptions,ours,quantity_2,1,too_much,Alex produced a series of sounds corresponding roughly to the score of an aria from Rigoletto.,Betsy might be implying that Alex’s performance was not very good.,Betsy might be implying that Alex produced a series of sounds corresponding roughly to the score of an aria from Rigoletto.,Betsy really likes talent shows in general.,Betsy is in love with Alex.,Betsy,"Betsy could be indicating that Alex's performance was unique or unconventional. By mentioning that the sounds corresponded to the score of an aria from Rigoletto, she might be suggesting that Alex took a creative approach to their performance, perhaps using unconventional instruments or techniques.","Betsy might be implying that Alex's performance was experimental or avant-garde. By describing the sounds as a series corresponding to the score of an aria from Rigoletto, she could be suggesting that the performance was abstract or non-traditional, pushing the boundaries of what is typically expected in a talent show."
Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,Jane tuned her instrument and then made sounds at the appropriate volume for most of the night.,the answer provides information in an order that does not makes sense,"1. Bo could be trying to convey that Jane's performance was average or mediocre. By mentioning that Jane tuned her instrument and played at an appropriate volume, Bo may be implying that there was nothing particularly outstanding or exceptional about the performance.

2. Bo could be trying to convey that Jane's performance was consistent and well-executed. By mentioning that Jane tuned her instrument and played at an appropriate volume throughout the night, Bo may be indicating that Jane maintained a high level of professionalism and skill throughout the performance.

3. Bo could be trying to convey that Jane's performance lacked creativity or variation. By mentioning that Jane made sounds at an appropriate volume for most of the night, Bo may be suggesting that the performance was repetitive or lacked dynamic changes.

4. Bo could be trying to convey that Jane's performance was unremarkable or forgettable. By mentioning that Jane made sounds at an appropriate volume for most of the night, Bo may be implying that there was nothing particularly memorable or standout about the performance.",gricean_assmuptions,ours,manner_4,11,too_much,Jane tuned her instrument and then made sounds at the appropriate volume for most of the night.,Bo might be implying that Jane's performance was not good.,Bo might be implying that Jane tuned her instrument and then made sounds at the appropriate volume for most of the night.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo,"Bo could be trying to convey that Jane's performance lacked creativity or variation. By mentioning that Jane made sounds at an appropriate volume for most of the night, Bo may be suggesting that the performance was repetitive or lacked dynamic changes.","Bo could be trying to convey that Jane's performance was consistent and well-executed. By mentioning that Jane tuned her instrument and played at an appropriate volume throughout the night, Bo may be indicating that Jane maintained a high level of professionalism and skill throughout the performance."
Bo went to a music concert where their friend Jane played the guitar. You ask Bo: 'How was Jane’s performance?'. Bo replies:,Jane's performance was terrible.,the answer is unnecessarily prolix for the context,"1. Bo may be expressing disappointment or frustration with Jane's performance.
2. Bo may be trying to emphasize the extent of their dissatisfaction with Jane's performance.
3. Bo may be indicating that Jane's performance did not meet their expectations.
4. Bo may be suggesting that Jane's performance was below average or of low quality.",gricean_assmuptions,ours,manner_3,11,baseline,Jane's performance was terrible.,Bo might be implying that Jane's performance was terrible.,Bo might be implying that Jane's performance was very good.,Bo liked the drinks at the venue's bar.,Jane has been taking dancing classes for five years.,Bo,Bo may be indicating that Jane's performance did not meet their expectations.,Bo may be suggesting that Jane's performance was below average or of low quality.
Emma attended a cooking competition where your mutual friend Sophie was a participant. You ask Emma: 'How did Sophie do in the competition?'. Emma replies:,Sophie participated.,the answer uses language that is difficult to understand,"1. Emma could be implying that Sophie did not perform well in the competition.
2. Emma might be suggesting that Sophie's participation in the competition was noteworthy or significant in some way.
3. Emma could be indicating that Sophie's performance in the competition was average or mediocre.
4. Emma might be implying that Sophie's participation in the competition was unexpected or surprising.",gricean_assmuptions,ours,manner_1,10,too_little,Sophie participated.,Emma might be implying that Sophie's cooking was not good.,Emma might be implying that Sophie cooked.,Emma tried Sophie's cake.,Emma arrived late to the competition.,Emma,Emma could be indicating that Sophie's performance in the competition was average or mediocre.,Emma might be implying that Sophie's participation in the competition was unexpected or surprising.
Emma attended a cooking competition where your mutual friend Sophie was a participant. You ask Emma: 'How did Sophie do in the competition?'. Emma replies:,The host of the competition cooked some great dishes.,the answer is more informative than is required by the context,"1. Emma might be avoiding directly answering the question about Sophie's performance because she doesn't want to give a negative or disappointing response.
2. Emma could be implying that Sophie did not perform well in the competition and that the host's dishes were the highlight of the event.
3. Emma might be suggesting that the competition was tough and Sophie faced strong competition from the host, indicating that Sophie's performance might not have been outstanding.
4. Emma could be indirectly implying that Sophie's performance was forgettable or not worth mentioning compared to the host's dishes.",gricean_assmuptions,ours,quantity_2,10,irrelevant,The host of the competition cooked some great dishes.,Emma might be implying that Emma does not want to talk about Sophie's performance.,Emma might be implying that the host of the competition cooked some great dishes.,Emma tried Sophie's cake.,Emma arrived late to the competition.,Emma,Emma might be avoiding directly answering the question about Sophie's performance because she doesn't want to give a negative or disappointing response.,Emma could be implying that Sophie did not perform well in the competition and that the host's dishes were the highlight of the event.
Emma went to a dance competition where your mutual colleague Sophie was a participant. You ask Emma: 'How did Sophie perform in the competition?'. Emma replies:,Sophie danced.,the answer is less informative than is required by the context,"1. Emma could be implying that Sophie's performance was average or unremarkable.
2. Emma might be suggesting that Sophie's performance was not particularly memorable or outstanding.
3. Emma could be indicating that Sophie's performance was not up to her usual standards or expectations.
4. Emma might be implying that Sophie's performance was forgettable or not worth discussing in detail.",gricean_assmuptions,ours,quantity_1,15,too_little,Sophie danced.,Emma might be implying that Sophie's dancing was good.,Emma might be implying that Sophie danced.,Emma used to take Sophie’s dance classes.,Sophie also participated in a chess competition.,Emma,Emma might be implying that Sophie's performance was forgettable or not worth discussing in detail.,Emma could be implying that Sophie's performance was average or unremarkable.
Emma went to a dance competition where your mutual colleague Sophie was a participant. You ask Emma: 'How did Sophie perform in the competition?'. Emma replies:,Sophie's dancing made the audience laugh.,the answer provides information in an order that does not makes sense,"1. Sophie's dancing was comical or humorous in nature.
2. Sophie's performance had unexpected or funny moments that entertained the audience.
3. Sophie's dancing style or routine was unconventional and elicited laughter from the audience.
4. Sophie's performance was not up to the expected standard, and the audience reacted by laughing.",gricean_assmuptions,ours,manner_4,15,marked,Sophie's dancing made the audience laugh.,"Emma might be implying that Sophie unintentionally made the audience laugh, e.g. by dancing off-beat.","Emma might be implying that Sophie intentionally made the audience laugh, e.g. by performing a comedy sketch.",Emma used to take Sophie’s dance classes.,Sophie also participated in a chess competition.,Emma,Sophie's dancing was comical or humorous in nature.,"Sophie's performance was not up to the expected standard, and the audience reacted by laughing."
Jack attended the premier of a new drama at a renown theatre in your city. You ask Jack: 'How was the drama?'. Jack replies:,The drama caused some attendees to yawn.,Jack likely does not have enough evidence for the answer,"1. Jack may be implying that the drama was boring or unengaging, leading some attendees to yawn out of boredom.
2. Jack could be suggesting that the drama was too long or dragged on, causing some attendees to become tired and yawn.
3. Jack might be indicating that the drama lacked excitement or failed to captivate the audience, resulting in some people feeling uninterested and yawning.
4. Jack could be hinting that the drama was monotonous or repetitive, causing some attendees to feel drowsy and yawn.",gricean_assmuptions,ours,quality_2,12,marked,The drama caused some attendees to yawn.,"Jack might be implying that the performance unintentionally made the audience yawn, e.g., because it was boring.","Jack might be implying that the performance intentionally made the audience yawn, e.g., because they told the attendees to do so.",Jack used to take acting classes in college.,the drama was based on Jack’s favourite book.,Jack,"Jack could be suggesting that the drama was too long or dragged on, causing some attendees to become tired and yawn.","Jack might be indicating that the drama lacked excitement or failed to captivate the audience, resulting in some people feeling uninterested and yawning."
Jack attended the premier of a new drama at a renown theatre in your city. You ask Jack: 'How was the drama?'. Jack replies:,The drama was great.,the answer is more informative than is required by the context,"1. Jack may be indicating that he thoroughly enjoyed the performance and found it to be of high quality.
2. Jack could be implying that the drama exceeded his expectations and left a strong impression on him.
3. Jack might be suggesting that the drama was well-received by the audience and received positive feedback.
4. Jack may be hinting that the drama was emotionally impactful or thought-provoking, leaving a lasting impression on him.",gricean_assmuptions,ours,quantity_2,12,baseline,The drama was great.,Jack might be implying that the drama was great.,Jack might be implying that The drama was not good.,Jack used to take acting classes in college.,the drama was based on Jack’s favourite book.,Jack,"Jack may be hinting that the drama was emotionally impactful or thought-provoking, leaving a lasting impression on him.",Jack could be implying that the drama exceeded his expectations and left a strong impression on him.
